id,type_id,sub_category,Categorie,nom,Adresse,Code_postale,Ville,usage_principale,date_de_construction,nombre_de_batiments,nombre_de_niveaux,surface_totale,compacite,periode_d_occupation_des_locaux,hauteur_sous_plafond_moyenne,zone_climatique,temp_exterieure_de_base,orientation_principale,detail_des_surfaces,chauffage,ecs,renouvellement_d_air,remarques,plan,image,lon,lat
1,1,1,Mat et Elem,Groupe Scolaire HenriI ARNOULD , 5 rue Leon Lemaire,2100,Saint-Quentin,Ecole maternelle et primaire,NC,3 (dont 2 bàtiments accolés),2,1987 m2,0.7,NC,"3,2 m",H1a,-7,Est - Ouest,,Chauffage au gaz,Ballons électriques décentralisés,Ventilation naturelle par bouche d'extraction,,,,3.317452669,49.83516264
2,1,1,Mat et Elem,Groupe Scolaire Quentin BARRE,Impasse Jacquard  et 59 rue Quentin Barré,2100,Saint-Quentin,Ecole maternelle et primaire,Construction en 1910 - Réhabilitation en 1921,3,"3 (Sous-Sol, RDC, 1 étage)",2114 m2,Ecole maternelle: 90 enfants et 4 enseignants |Ecole primaire: 161 enfants (enseignants non communiqués),NC,"RDC: 2,8 m en moyenne",H1a,-7,Orientation principale: Sud Ouest,Ecole Maternelle: 847 m2 |Ecole primaire filles 638 m2 |Ecole Primaire Garéons: 629 m2,Chauffage au gaz,Ballons électrique décentralisé,Ventilation naturelle par infiltration |VMC pour les sanitaires de la cour,,,,3.298704028,49.8486184
3,1,1,Mat et Elem,Groupe Scolaire PAUL BERT ,66 rue du Fleming,2100,Saint-Quentin,,,,,,,,,H1a,-7,,,,,,,,,3.305342495,49.86296777
4,1,1,Mat et Elem,Groupe Scolaire FRANçOIS COLLERY ,88 rue Henry Dunant,2100,Saint-Quentin,Ecole maternelle et primaire,NC,3,3,3075 m2,1.83,"De 8h00 à 18h00, les lundi, mardi, jeudi et vendredi","Primaire: 3,15 m |Maternelle: 3,25 m |Gymnase: 7m",H1a,-7,bàtiment principal: Nord-est / Sud-ouest,,Chaudiére GAZ,Chaudiére GAZ,Ventilation naturelle par infiltration,,,,3.305114508,49.85433756
5,1,1,Mat et Elem,Groupe Scolaire CORRETTE ,39 rue Briatte ,2100,Saint-Quentin,Accueil d'enfants,1962,4,2,2453 m2,0.72,"De 7h30 à 18h00, | du lundi au vendredi","Salles: 3,1 m",H1a,-7,Nord / Sud,,Chauffage au gaz,Production électrique,Ventilation naturelle par défaut d'étanchéité,,,,3.308386803,49.83278038
6,1,1,Mat et Elem,Groupe Scolaire CAMILLE DESMOULINS ,2 rue Louise Hugues et 109 rue Camille Desmoulins,2100,Saint-Quentin,Ecole maternelle et primaire,NC,4,1 à 2 niveaux,2196 m2,Ecole maternelle: 123 enfants - 8 enseignants |Ecole élémentaire: 187 enfants (enseignants non renseignés),NC,"RDC: 2,9 m |R+1: 2,9 m",H1a,-7,Entrée principale: Ouest,Bat. Principal: 550 m2 |Bat. Primaire: 690 m2 |Bat. Maternelle: 650 m2 |Restaurant: 89 m2,Chauffage au gaz,Ballons électriques décentralisés,Ventilation naturelle par infiltration,,,,3.295085728,49.85425456
7,1,1,Mat et Elem,Groupe Scolaire LES GIRONDINS ,Place des Girondins - 40 rue des Girondins,2100,Saint-Quentin,Ecole primaire et élementaire,1921,9,"3 (Sous-sol,RDC et étage)",3061 m2,Ecole maternelle: 120 enfants et 5 enseignants |Ecole primaire: 291 élèves,NC,"RDC: 2,9 m",H1a,-7,Ecole élémentaire filles: Sud Est |Ecole élémentaire Garéons: Nord Ouest |Ecole élémentaire: Ouest,,Chauffage au gaz,Ballons électriques décentralisés,Ventilation naturelle par infiltration,,,,3.307804763,49.83824021
8,1,1,Mat et Elem,Groupe Scolaire d'Isle. Ecole  POLVENT ,1 rue d'Ostende,2100,Saint-Quentin,,,,,,,,,H1a,-7,,,,,,,,,3.298915923,49.83884912
9,1,1,Mat et Elem,Groupe Scolaire Pierre LAROCHE ,2 rue André Godin,2100,Saint-Quentin,"Ecole maternelle et primaire, Gymnase et logements",1965,"3 (maternelle, primaire et gymnase)","Maternelle: 1 (RDC) |Primaire: 4 (RDC, R+1, R+2, et R+3) |Gymnase: 1 (RDC)",6141 m2,NC,NC,"Maternelle: RDC: 3,40 m |Primaire: RDC, R+1, R+2: 3,40 m ; R+3: NC |Gymnase: RDC: 14m",H1a,-7,Maternelle: Nord / Ouest |Primaire: Sud / Ouest |Gymnase: Sud / Ouest,,Chauffage urbain / sous station | dans le bàtiment maternelle,Maternelle et primaire: Electrique |Gymnase: Centralisée en chauffage urbain,"Maternelle: Ventilation naturelle par infiltraation |Primaire: Ventilation naturelle par infiltration dans les salles de classe, et ventilation spécifique pour la zone de cuisine avec 2 hottes d'extration |Gymnase: Pas de ventilation dans les vestiaires, et deux aérothermes avec caissons d'air neuf et d'air mélangé dans la grande salle de sport","Le gymnase à été réhabillité récemment |Les 7 logements faisant initialement partidu groupe scolaire ne font plus partie de ce dernier, ils ne sont plus gérés par la Ville.",,,3.298060298,49.8622364
10,1,1,Mat et Elem,Groupe Scolaire METZ ,2 rue de Metz,2100,Saint-Quentin,Ecole maternelle et primaire,1954,1,3,1253 m2,0.35,de 7h45 à 18h00,"3,2 m",H1a,-7,Nord / Sud,,Chaufferie gaz |plancher chauffant,Electrique,Ventilation naturelle par infiltration |extracteur dans la piéce d'eau,"Le bàtiment est rattaché au collége, appartenant au conseil régional, qui approvisionne léécole primaire/maternelle en |chaleur. |Léécole a été rénovée en 2002 : remplacement des fenétres, mise en place de rideau, indépendance électrique |(compteur bleu).",,,3.290957808,49.84921162
11,1,1,Mat et Elem,Groupe Scolaire Marcel PAGNOL ,127 rue du Général Leclerc,2100,Saint-Quentin,Ecole élementaire,NC,2 (dont 1 pour le préau couvert),2,854 m2,133 élèves et 7 enseignants,NC,"RDC: 3,2 m |R+1: 3,2m",H1a,-7,Faéade sur cour intérieure: Sud Est |Faéade sur rue: Sud Ouest,,Chauffage au gaz,Ballons électriques décentralisés,Ventilation naturelle par infiltration,,,,3.302746117,49.83832497
12,1,1,Mat et Elem,Groupe Scolaire Robert SCHUMAN ,Rue Berthollet,2100,Saint-Quentin,Etablissement scolaire,NC,3,1 à 4,3578 m2,1.86,,"RDC (logements): 3 m |RDC (autres bàtiments): 3,3 m |R+1: 2,6 m |R+2: 2,6 m |R+3: 2,5 m",H1a,-7,Est/Ouest,,Réseau Urbain,Réseau urbain + ballons ECS  |électrique décentralisé,Ventilation naturelle par infiltration | et ventilation mécanique,Le groupe se divise en trois structures : |La maternelle et les logements |Léécole élémentaire  |Le gymnase,,,3.295260072,49.85955634
13,1,2,Maternelle,Groupe Scolaire XAVIER AUBRYET ,10 rue Xavier AUBRYET,2100,Saint-Quentin,Ecole maternelle,NC,2,3 |(Sous-sol: Chaufferies |RDC |1 étage: logement non occupé),1135 m2,137 élèves et  |6 enseignants,NC,"RDC: 2,8 m |R+1: 2,7 m",H1a,-7,Entrée principale: Sud Est,,Chauffage au gaz,Ballons électrique décentralisé,Ventilation naturelle par infiltration,,,,3.274043798,49.84194029
14,1,1,Mat et Elem,Groupe Scolaire Georges BACHY ,146 Rue d'épargnemailles,2100,Saint-Quentin,Ecole maternelle et primaire,NC,2,3,3074 m2,0.67,NC,"RDC: 3,15 m |R+1: 2,95 m |R+2: 2,95 m",H1a,-7,Sud-Ouest / Sud,,Chauffage au gaz,Ballons électrique décentralisé,Ventilation naturelle par infiltration,,,,3.272858262,49.85243183
15,1,1,Mat et Elem,Groupe Scolaire Ferdinand BUISSON ,80 Rue Henriette Cabot  et 82 Rue Henriette Cabot  ,2100,Saint-Quentin,Ecole maternelle et primaire,NC,3,2,2005 m2,2,"De 8h00 à 18h00, les lundi, mardi, jeudi et vendredi","Primaire / Maternelle / CDDP: 2,95 m",H1a,-7,bàtiment Primaire: Est / Ouest |bàtiment Maternelle et CDDP: Nord / Sud,,Chauffage au gaz,Production électrique,Ventilation naturelle par infiltration,,,,3.272359371,49.86134076
16,1,1,Mat et Elem,Groupe Scolaire Alfred CLIN ,99 Rue de la Claie,2100,Saint-Quentin,Ecole primaire et maternelle,1912,2,"3 (Sous-Sol: Chaufferies et restaurant, RDC: Ecole, Etage: Ecole)",2075 m2,Ecole maternelle: 91 élèves et 4 enseignants |Ecole élementaire 143 élèves et 9 enseignants,NC,"Sous-sol: 2,5m |RDC: 2,8m |R+1: 2,8m",H1a,-7,Entrée faéade Sud,,Chauffage au gaz,Ballons électrique décentralisé,Ventilation naturelle par infiltration,Restauration en 1921,,,3.287315369,49.85645419
17,1,1,Mat et Elem,Groupe Scolaire Ernest LAVISSE ,218 route de Paris,2100,Saint-Quentin,Ecole maternelle et primaire,NC,2,1,2420 m2,2.57,"De 8h00 à 18h00, les lundi, mardi, jeudi et vendredi","Primaire / Maternelle: 2,5 m",H1a,-7,bàtiment principal: | Nord / Sud,,Chauffage au gaz,Ballons électrique décentralisé,Ventilation naturelle par infiltration,,,,3.265975714,49.83672999
18,1,1,Mat et Elem,Groupe Scolaire Lyon JUMENTIER,3 Rue des Glatiniers,2100,Saint-Quentin,Ecole maternelle et primaire ,NC,1,3,2467 m2,1.99,NC,"RDC: 4 m  (salle de motricité: 5,12 m) |R+1: 4m |R+2: 3,2 m",H1a,-7,Orientation multiple: |bàtiment principal: Est/Ouest |Ailes adjacentes: Nord / Sud,,Chauffage au gaz,Ballons électrique décentralisé,Ventilation naturelle par infiltration,,,,3.284826279,49.84561068
19,1,1,Mat et Elem,Groupe Scolaire Jean MACE ,Rue du Commandant Charcot ,2100,Saint-Quentin,,,,,,,,,H1a,-7,,,,,,,,,3.266630173,49.84628869
20,1,2,Maternelle,Groupe Scolaire MONTPLAISIR,53 rue de la 3ème D.I.M,2100,Saint-Quentin,Ecolle maternelle,NC,1,2,807 m2,0.85,NC,"RDC: 3,5 m ",H1a,-7,Nord / Sud,,Chauffage au gaz,Ballons électriques décentralisés,Ventilation naturelle par infiltration,Le bàtiment a été rénové (Aoét 2011),,,3.275696039,49.85091514
21,1,2,Maternelle,Groupe Scolaire MONTESSORI,1 rue François Adrien Boieldieu,2100,Saint-Quentin,Ecole maternelle,NC,1,2 (RDC et SS),707 m2,62 enfants + 3 enseignants,NC,"Sous-sol: 2,5 m |RDC: 2,6 m |Etage logement: 2,5 m",H1a,-7,Entrée principale: Est,,Chauffage au gaz,Ballons électrique décentralisé,Ventilation naturelle par infiltration,,,,3.269489408,49.85284688
22,1,3,Elémentaire,Groupe Scolaire AMEDEE OZENFANT,61 rue des Patriotes,2100,Saint-Quentin,Accueil d'enfants ,NC,1,"3 (Sous-sol, RDC et R+1)",1074 m2,0.52,"De 7h30 à 18h00, du lundi au vendredi","Salles: 3,8 m",H1a,-7,Sud - Nord,,Chauffage au gaz,Production électrique,Ventilation naturelle par infiltration,,,,3.290448189,49.84287089
23,1,3,Elémentaire,Groupe Scolaire PARINGAULT,1 rue de la 3ème D.I.M,2100,Saint-Quentin,Ecole élementaire,NC,3,2,1381 m2,1.1,NC,"RDC: 3,7 m |R+1: 3,8 m",H1a,-7,Orientation multiple  |bàtiment principal: Nord Ouest / Sud Est,,Chauffage au gaz,Ballons électrique décentralisé,Ventilation naturelle par infiltration,,,,3.276940584,49.84875503
24,1,2,Maternelle,Groupe Scolaire des PATRIOTES,38 bis et 40 rue des Patriotes,2100,Saint-Quentin,Accueil d'enfants,NC,1,1,797 m2,0.63,"De 7h30 à 18h00, du lundi au vendredi","Salles: 3,7 m",H1a,-7,"3 faéades: |Sud, Est, Ouest (le Nord est mitoyen)",,Chauffage au gaz,Production électrique,Ventilation naturelle par infiltration,,,,3.288887143,49.84382655
25,1,1,Mat et Elem,Groupe Scolaire Jacques PREVERT,Rue de l'Eglise (Oestres),2100,Saint-Quentin,Ecole primaire et maternelle,NC,2,3 (Sous-sol: Chaufferies |RDC |1 étage: logement non occupé),752 m2,Maternelle: 26 enfants |Primaire: 63 enfants |Enseignants: 3 professeurs,NC,"RDC: 2,9 m",H1a,-7,Entrée principale: |Ecole maternelle: Nord |Ecole élémentaire: Nord Est,Eole maternelle: 408 m2 |Ecole primaire: 344 m2,Chauffage au gaz,Ballons électrique décentralisé,Ventilation naturelle par infiltration,,,,3.257902265,49.82885813
26,1,3,Elémentaire,Groupe Scolaire THELLIER DESJARDINS,1 rue de Flandre ,2100,Saint-Quentin,Ecole élémentaire,NC,2,2 (4 pour la partie logement),2083 m2,1.08,NC,4 m,H1a,-7,Sud-Ouest / Nord-Ouest,,Chauffage au gaz,Ballons électrique décentralisé,Ventilation naturelle par infiltration et ventilation simple flux dans les sanitaires,,,,3.274092078,49.84070523
27,1,3,Elémentaire,Groupe Scolaire DAVID et MAIGRET ,106 rue de Normandie,2100,Saint-Quentin,Hébergement d'associations,NC,2,2,582 m2,2.86,De 8h30 à 17h45,"RDC: 3,5 m |RDC bàtiment pré-fabriqué: 2,5 m |R+1: 3,5 m",H1a,-7,bàtiment principal: Sud-ouest / Nord-Est,,Chauffage au gaz,Ballons électrique décentralisé,Ventilation naturelle par infiltration,"Présence d'un bàtiment en pré-fabriqué sur la parcelle abritant une ancienne classe, d'une date de construction postérieure au groupe scolaire.  |Le groupe scolaire fait office aujourd'hui de local d'hébergement pour différentes associations",,,3.271028996,49.85619048
28,1,4,Dessin,Groupe Scolaire Maurice-Quentin de la TOUR,1 rue Gabriel Girodon,2100,Saint-Quentin,,,,,,,,,H1a,-7,,,,,,,,,3.271028996,49.85619048
29,1,2,Maternelle,Groupe Scolaire Benjamin Rouche,284 rue Jacques Blanchot,2100,Saint-Quentin,Accueil d'enfants,1980,1,1,680 m2,0.78,"De 7h30 à 18h00, du lundi au vendredi","Salles: 2,6 m |Préau: 4,9 m",H1a,-7,4 faéades également orientés,,Chauffage au gaz,Production électrique,Ventilation naturelle par infiltration,,,,3.271028996,49.85619135
30,1,2,Maternelle,Groupe Scolaire Pauline KERGOMARD,Rue Charles Gomard,2100,Saint-Quentin,Ecole maternelle,NC,1,3,795 m2,2.11,De 8h30 à 16h30,"RDJ: 2,9 m |RDC: 2,9 m |R+1: 2,9 m",H1a,-7,Sud / Nord,,Chauffage au gaz,Ballons électrique décentralisé,Ventilation naturelle par infiltration,"L'école va fermer dans un futur proche, ce bàtiment devrait intégrer les effectifs du centre de Loisir Plein Air situé rue de Phalsbourg. |Le logement situé au-dessus de l'école maternelle n'est pas occupé. Son état actuel le rend inhabitable",,,3.278622329,49.85438598
31,1,5,Musique,Ecole nationale de Musique - Conservatoire,51 rue d'Isle,2100,Saint-Quentin,,,,,,,,,H1a,-7,,,,,,,,,3.291486204,49.84444836